model_name          ,common_name         ,batch               ,bulletin_time       ,brand               ,max_weight          ,curb_weight         ,fuel_type           ,length              ,width               ,height              ,max_speed           ,enterprise          ,manufacture         ,engine_model        ,engine_manufature   ,market_type         ,veh_grade           ,veh_level           ,power_type          ,veh_type            ,drive_range1        ,drive_range2        ,drive_range_ev2     ,drive_range_ev1     ,material            ,battery_type        ,power_amount        ,energy_density      ,kwh_100km           ,ekg                 ,motor_type          ,motor_max_power     ,motor_max_rpm       ,motor_max_torque    ,rating_volumn       ,rating_volt         
1a5afe0eb2520bdfa00134b987268a8b,EV200-II,294,2016/4/27,北京,1670,1295,纯电动,4025,1720,1503,125,北京汽车,北京汽车股份有限公司,TZ20S02,北京新能源汽车股份有限公司,,轿车,A0,BEV,轿车,150,,,,铁锂,磷酸铁锂电池,26,,,,永磁同步电机,,,,,
36096edc0d5ae083ba88a6cdf11f48ae,EC180,311,2017/3/28,北京,1360,1050,纯电动,3675,1630,1518,101,北京新能源汽车,北京新能源汽车股份有限公司,YS15H001,北京新能源汽车股份有限公司,,轿车,A00,BEV,轿车,156,,,,三元,三元镍钴锰酸锂电池,20,,,,交流异步电机,,,,203,113.1
764534c0458e990162218b6fd8f50441,EC180,309,2017/10/9,北京,1360,1030,纯电动,3675,1630,1518,101,北京新能源汽车,北京新能源汽车股份有限公司,TZ180X01,北京新能源汽车股份有限公司,轿车,轿车,A00,BEV,轿车,162,,,,三元,三元锂离子电池,21,130.72,13.5,,永磁同步电动机,36,9200,140,,
40226d45c7380fb452f420975b9ff9c3,,304,2017/12/22,比亚迪,2495,2120,汽油/电混合动力,4565,1870,1700,180,比亚迪汽车,比亚迪汽车有限公司,BYD476ZQA,比亚迪汽车有限公司,SUV,SUV,紧凑型SUV,PHEV,乘用车,,,80,100,三元,镍钴锰酸锂电池,17,,21.17,,永磁同步电机,,,,33,514
9fec6366eb4e87063ef1087b60266ce6,比亚迪 e5,303,2018/1/3,比亚迪,2220,2275,1845,1900,纯电动,4680,1765,1500,130,比亚迪汽车,比亚迪汽车有限公司,BYD-2217TZ-XS-B,比亚迪汽车工业有限公司,轿车,轿车,A,BEV,轿车,305,,,,铁锂,磷酸铁锂电池,43,96.5,15.12/15.72,,永磁同步电机,160,12000,310
e140cc2abc132a2b6f9f0baa92b39df6,e5,303,2018/10/15,比亚迪,2275,1900,纯电动,4680,1765,1500,130,比亚迪汽车,比亚迪汽车有限公司,BYD-2217TZ-XS-B,比亚迪汽车工业有限公司,轿车,轿车,A,BEV,轿车,400,,,,三元,镍钴锰酸锂电池,61,140.67,14.8,,永磁同步电机,160,12000,310,,
0dbcb0cc2aae1d7238ca76d86e332b13,,311,2017/12/22,比亚迪,2135,1760,汽油/电混合动力,4740,1770,1480,185,比亚迪汽车,比亚迪汽车有限公司,BYD476ZQA,比亚迪汽车有限公司,轿车,轿车,A,PHEV,轿车,,,80,100,三元,镍钴锰酸锂电池,15,,18.29,,永磁同步电机,110,10000,200,33,460.8
c34761c8ce3403c91fec261d6b896543,,301,2017/9/15,荣威,2105,1730,汽油/电混合动力,4554,1855,1689,1719,200,上海汽车,上海汽车集团股份有限公司,15E4E,上海汽车集团股份有限公司,SUV,轿车,A,PHEV,乘用车,,,60,80,三元,三元锂离子电池,12,,,,永磁同步电机,56,7000,318,37
c8d64f1438d08b421a2b8d6839f8afcb,荣威 eRX5,312,2017/8/9,荣威,2155,1710,纯电动,4554,1855,1686,1716,135,上海汽车,上海汽车集团股份有限公司,TZ204XS85K02,华域汽车电动系统有限公司,SUV,轿车,A,BEV,乘用车,320,,,,三元,三元锂离子电池,48,135.3,14.95,,永磁同步电机,85,3200,255,140
2b8a98a12bd8aa0a9dee40594ae70a32,,299,2017/9/15,荣威,1855,1430,汽油/电混合动力,4671,1835,1460,200,上海汽车,上海汽车集团股份有限公司,10E4E,上海汽车集团股份有限公司,轿车,轿车,A,PHEV,轿车,,,53,70,三元,三元锂离子电池,9,,,,永磁同步电机,60,7000,318,26,350
